哈哈哈他吃鸡腿咋跟削铅笔一样,2019-01-15 14:23:32
牙齿:什么东西过去了。舌头:不知道。喉咙:哇好多。胃:上面的能不能加工一下。(〜￣△￣)〜,2019-01-25 22:01:13
这一餐起码有八只鸡失去了他们的梦想,2019-01-19 10:38:58
开始他笑，我以为是幸福满足的意思，但是我越看越不对劲，这贱贱的笑容分明在说：“我来吃，你看着就行，我就是在故意馋你！”……,2019-01-20 19:41:50
这个吃播粗旷到我有点害怕和他对视......,2019-01-15 11:06:14
"时至深夜，这些B

站首页推荐人员就露出了他们丑恶的嘴脸",2019-01-22 01:36:56
我这么吃东西估计会被我妈打死，哈哈哈哈,2019-01-15 11:47:03
原来动画里一嘴唆掉一个鸡腿都是真的。。。,2019-03-29 22:53:12
这个很像我的室友在正在减肥的我面前吃东西的样子……,2019-01-30 23:30:49
有没有哪位勇士和我一样是凌晨看这个视频的,2019-01-17 01:24:10
这小哥简直是吃播界的一股泥石流,2019-01-15 13:45:47
"这是我第一个看笑的吃播
表情太丰富了哈哈哈哈啊哈哈哈哈哈哈哈啊哈哈哈哈啊哈哈哈哈哈哈哈啊哈哈",2019-01-16 15:30:24
我还以为摆了一排狮子头(λಡ_ಡﾞ),2019-01-16 17:50:56
怎么办看他边吃边笑我有点想打他，感觉他在嘲讽我[蛆音娘_扶额],2019-01-16 04:35:28
跟鸡腿吃出了爱情,2019-01-17 20:48:05
我也想用鸡腿刷牙……,2019-01-28 12:32:58
看到他吃了好几个鸡腿还没有喝一口可乐，我有种莫名的焦灼感,2019-01-27 22:25:25
我想看这个倒放，从嘴里拧出一个鸡腿，想想就激动ε=ε=(ノ≧∇≦)ノ,2019-01-22 21:55:33
红鸡腿进白骨头出,2019-01-16 01:36:33
其他吃播30％的戏和70％的吃，这小哥刚好相反，整个视频看完我就记得他的自动转笔刀式吃饭和魔性的表情。。。鸡腿什么鸡腿？,2019-01-25 19:40:14
微笑中透露着一大坨猥琐和一丝丝可爱,2019-03-13 15:41:35
鸡腿没什么问题，吃相也还一般不算夸张，但就冲这骚表情我想锤他，各位没意见吧,2019-01-15 19:38:02
"我一点都不饿
一点都不饿
点都不饿
都不饿
不饿
饿",2019-01-27 18:31:42
别人看吃播要么看技术要么看颜值，我就比较个性，我看人吃的啥( ´_ゝ｀),2019-03-19 18:09:33
这家伙喝可乐太费鸡腿了,2019-04-10 02:52:31
拿鸡腿刷牙的你是真的骚,2019-01-17 03:26:45
还是看女生吃播比较爽，这个吃相太他妈狂野了，直接转一圈拿出来一个骨头,2019-04-30 22:34:13
